start_year,cds14,enr_9_12_total,race_hisp_pct,race_white_pct,race_asian_incl_fil_pct,race_black_pct,race_urg_pct,race_asian_only_pct
2013,01612590130666,307.0,96.09,0.0,0.65,3.26,99.35,0.65
2013,01612590132688,246.0,41.46,2.44,11.79,41.46,83.33,10.16
2013,01612590135905,1552.0,21.97,1.61,37.56,36.6,58.83,35.7
2013,01612590136051,2092.0,18.69,22.04,18.64,36.19,55.21,17.45
2013,01612590137943,1781.0,37.17,6.51,17.8,34.7,72.26,16.62
2013,01612593030772,383.0,13.32,38.64,2.61,27.94,41.51,2.35
2013,01612596066450,83.0,67.47,1.2,1.2,27.71,95.18,1.2
2013,01612596114011,198.0,44.44,3.54,3.03,43.43,88.89,3.03
2013,01612750000001,5.0,0.0,100.0,0.0,0.0,0.0,0.0
2013,01612750130286,69.0,4.35,63.77,8.7,18.84,23.19,4.35
2013,01612750136515,770.0,3.38,70.91,20.65,1.82,5.45,19.09
2013,01612910000001,19.0,47.37,15.79,0.0,31.58,78.95,0.0
2013,01612910134528,108.0,51.85,13.89,4.63,25.0,76.85,0.0
2013,01612910137588,2630.0,44.56,10.15,23.99,17.72,62.51,14.79
2013,01612916066518,1.0,0.0,0.0,0.0,100.0,100.0,0.0
2013,01613090000001,12.0,41.67,33.33,8.33,16.67,58.33,0.0
2013,01613090111799,275.0,47.64,17.82,7.27,24.73,72.36,2.18
2013,01613090114421,498.0,47.79,4.82,26.71,17.87,65.66,24.1
2013,01613090130849,1744.0,42.6,14.79,30.96,8.26,51.38,19.67
2013,01613090137745,169.0,58.58,10.65,4.73,23.08,81.66,2.37
2013,01613090137810,1457.0,59.09,6.38,14.28,17.16,76.6,7.62
2013,01750930125930,5.0,20.0,20.0,60.0,0.0,20.0,20.0
2013,01750930132704,1889.0,16.89,36.74,35.36,7.46,24.88,26.89
2013,01750930138453,79.0,32.91,49.37,6.33,10.13,43.04,5.06
2013,01751010000000,42.0,57.14,35.71,2.38,2.38,59.52,2.38
2013,01751010000001,13.0,0.0,84.62,15.38,0.0,0.0,0.0
2013,01751010130096,2158.0,8.57,51.02,34.2,2.27,11.54,31.42
2013,01751010130252,98.0,20.41,58.16,9.18,7.14,27.55,6.12
2013,01751010130583,2634.0,9.42,54.56,31.32,1.9,11.96,28.82
2013,01766530120931,440.0,20.23,55.23,13.64,2.05,22.73,11.36
2013,02100250230011,6.0,0.0,0.0,0.0,0.0,100.0,0.0
2013,02613330230029,1.0,0.0,0.0,0.0,0.0,100.0,0.0
2013,03100330000001,1.0,0.0,100.0,0.0,0.0,0.0,0.0
2013,03100330330035,9.0,44.44,44.44,0.0,0.0,55.56,0.0
2013,03100330330068,65.0,15.38,67.69,0.0,1.54,24.62,0.0
