entry,campus,cohort,group_type,subgroup,band,band_lo,band_hi,denom,n_first,n_second,n_third,r_first_pct,r_second_pct,r_third_pct
FR,All,2017,ethnicity,aian,3,3.88,4.0,57,45,3,1,78.95,5.26,1.75
FR,All,2017,ethnicity,asian,1,0.0,3.63,4652,3310,529,104,71.15,11.37,2.24
FR,All,2017,ethnicity,asian,2,3.63,3.88,5138,4134,516,86,80.46,10.04,1.67
FR,All,2017,ethnicity,asian,3,3.88,4.0,5647,4892,428,66,86.63,7.58,1.17
FR,All,2017,ethnicity,black,1,0.0,3.63,935,486,147,33,51.98,15.72,3.53
FR,All,2017,ethnicity,black,2,3.63,3.88,584,405,87,13,69.35,14.9,2.23
FR,All,2017,ethnicity,black,3,3.88,4.0,349,256,36,7,73.35,10.32,2.01
FR,All,2017,ethnicity,hispanic_latino,1,0.0,3.63,4980,2711,724,145,54.44,14.54,2.91
FR,All,2017,ethnicity,hispanic_latino,2,3.63,3.88,3903,2550,533,83,65.33,13.66,2.13
FR,All,2017,ethnicity,hispanic_latino,3,3.88,4.0,2754,2028,330,39,73.64,11.98,1.42
FR,All,2017,ethnicity,international,1,0.0,3.63,1232,761,172,38,61.77,13.96,3.08
FR,All,2017,ethnicity,international,2,3.63,3.88,1367,1003,143,30,73.37,10.46,2.19
FR,All,2017,ethnicity,international,3,3.88,4.0,1580,1239,131,34,78.42,8.29,2.15
FR,All,2017,ethnicity,white,1,0.0,3.63,2296,1384,348,69,60.28,15.16,3.01
FR,All,2017,ethnicity,white,2,3.63,3.88,2902,2158,322,50,74.36,11.1,1.72
FR,All,2017,ethnicity,white,3,3.88,4.0,4030,3371,305,41,83.65,7.57,1.02
FR,All,2017,first_gen_status,first_gen,1,0.0,3.63,7200,4137,988,198,57.46,13.72,2.75
FR,All,2017,first_gen_status,first_gen,2,3.63,3.88,5981,4089,784,127,68.37,13.11,2.12
FR,All,2017,first_gen_status,first_gen,3,3.88,4.0,4404,3352,463,75,76.11,10.51,1.7
FR,All,2017,first_gen_status,not_first_gen,1,0.0,3.63,6944,4543,933,197,65.42,13.44,2.84
FR,All,2017,first_gen_status,not_first_gen,2,3.63,3.88,8072,6292,818,138,77.95,10.13,1.71
FR,All,2017,first_gen_status,not_first_gen,3,3.88,4.0,10247,8684,787,116,84.75,7.68,1.13
FR,All,2017,overall,overall,1,0.0,3.63,14454,8857,1974,400,61.28,13.66,2.77
FR,All,2017,overall,overall,2,3.63,3.88,14329,10588,1636,267,73.89,11.42,1.86
FR,All,2017,overall,overall,3,3.88,4.0,14920,12257,1268,194,82.15,8.5,1.3
FR,All,2017,pell_status,non_pell,1,0.0,3.63,7069,4543,902,192,64.27,12.76,2.72
FR,All,2017,pell_status,non_pell,2,3.63,3.88,8157,6300,808,134,77.23,9.91,1.64
FR,All,2017,pell_status,non_pell,3,3.88,4.0,10205,8659,755,112,84.85,7.4,1.1
FR,All,2017,pell_status,pell,1,0.0,3.63,7385,4314,1072,208,58.42,14.52,2.82
FR,All,2017,pell_status,pell,2,3.63,3.88,6172,4288,828,133,69.48,13.42,2.15
FR,All,2017,pell_status,pell,3,3.88,4.0,4715,3598,513,82,76.31,10.88,1.74
FR,All,2018,ethnicity,aian,1,0.0,3.68,85,47,14,1,55.29,16.47,1.18
FR,All,2018,ethnicity,aian,2,3.68,3.9,62,41,6,1,66.13,9.68,1.61
