campus,metric,subgroup,value,n
Santa Barbara,earnings_p6,inc_mid,50666,1368
Santa Barbara,earnings_p6,inc_high,56687,1232
Santa Barbara,earnings_p8,overall,59432,5114
Santa Barbara,earnings_p8,inc_low,56233,1890
Santa Barbara,earnings_p8,inc_mid,57696,1665
Santa Barbara,earnings_p8,inc_high,66507,1563
Santa Barbara,earnings_p10,overall,66491,4790
Santa Barbara,earnings_p10,inc_low,60925,1703
Santa Barbara,earnings_p10,inc_mid,67183,1565
Santa Barbara,earnings_p10,inc_high,71665,1521
Santa Barbara,debt_grad,overall,14500,4099
Santa Barbara,debt_grad,pell,12500,5130
Santa Barbara,debt_grad,non_pell,12500,2341
Santa Barbara,debt_grad,inc_low,12000,2658
Santa Barbara,debt_grad,inc_mid,13000,2329
Santa Barbara,debt_grad,inc_high,12808,2484
Santa Barbara,debt_grad,first_gen,12847,5224
Santa Barbara,debt_grad,not_first_gen,12000,2247
Santa Cruz,earnings_p6,overall,45632,4101
Santa Cruz,earnings_p6,inc_low,43742,1653
Santa Cruz,earnings_p6,inc_mid,45627,1335
Santa Cruz,earnings_p6,inc_high,48395,1113
Santa Cruz,earnings_p8,overall,54286,4088
Santa Cruz,earnings_p8,inc_low,51759,1406
Santa Cruz,earnings_p8,inc_mid,53595,1322
Santa Cruz,earnings_p8,inc_high,58223,1359
Santa Cruz,earnings_p10,overall,58112,3953
Santa Cruz,earnings_p10,inc_low,55048,1409
Santa Cruz,earnings_p10,inc_mid,58205,1298
Santa Cruz,earnings_p10,inc_high,61192,1246
Santa Cruz,debt_grad,overall,17484,4419
Santa Cruz,debt_grad,pell,15395,4296
Santa Cruz,debt_grad,non_pell,12859,2350
Santa Cruz,debt_grad,inc_low,15320,2244
Santa Cruz,debt_grad,inc_mid,15000,2053
Santa Cruz,debt_grad,inc_high,13500,2349
Santa Cruz,debt_grad,first_gen,15000,4471
Santa Cruz,debt_grad,not_first_gen,14000,2175
Merced,earnings_p6,overall,44264,1462
Merced,earnings_p6,inc_low,40082,642
Merced,earnings_p6,inc_mid,44788,513
Merced,earnings_p6,inc_high,51369,309
Merced,earnings_p8,overall,53284,1626
