campus,year,cip2,cip2_title,total,urm,urm_share_pct
Santa Barbara,2021,26,26 - Biological sciences,686,153,22.3
Santa Barbara,2021,27,27 - Mathematics and statistics,577,71,12.3
Santa Barbara,2021,30,30 - Multi/interdisciplinary studies,174,61,35.1
Santa Barbara,2021,38,38 - Philosophy and religious studies,111,33,29.7
Santa Barbara,2021,40,40 - Physical sciences,302,50,16.6
Santa Barbara,2021,42,42 - Psychology,609,201,33.0
Santa Barbara,2021,45,45 - Social sciences,1662,540,32.5
Santa Barbara,2021,50,50 - Visual and performing arts,321,97,30.2
Santa Barbara,2021,52,52 - Business/management/marketing,49,1,2.0
Santa Barbara,2021,54,54 - History,140,52,37.1
Santa Barbara,2022,03,03 - Natural resources,321,86,26.8
Santa Barbara,2022,05,"05 - Area, ethnic, cultural, gender, and group studies",86,46,53.5
Santa Barbara,2022,09,09 - Communication/journalism,566,118,20.8
Santa Barbara,2022,11,11 - Computer and information sciences,160,14,8.8
Santa Barbara,2022,14,14 - Engineering,239,34,14.2
Santa Barbara,2022,16,16 - Foreign languages,164,70,42.7
Santa Barbara,2022,23,23 - English language and literature,175,69,39.4
Santa Barbara,2022,24,24 - Liberal arts/general studies,1,0,0.0
Santa Barbara,2022,26,26 - Biological sciences,723,159,22.0
Santa Barbara,2022,27,27 - Mathematics and statistics,612,76,12.4
Santa Barbara,2022,30,30 - Multi/interdisciplinary studies,137,37,27.0
Santa Barbara,2022,38,38 - Philosophy and religious studies,100,24,24.0
Santa Barbara,2022,40,40 - Physical sciences,343,76,22.2
Santa Barbara,2022,42,42 - Psychology,643,165,25.7
Santa Barbara,2022,45,45 - Social sciences,1758,561,31.9
Santa Barbara,2022,50,50 - Visual and performing arts,346,106,30.6
Santa Barbara,2022,52,52 - Business/management/marketing,47,3,6.4
Santa Barbara,2022,54,54 - History,142,63,44.4
Santa Barbara,2023,03,03 - Natural resources,331,104,31.4
Santa Barbara,2023,05,"05 - Area, ethnic, cultural, gender, and group studies",47,27,57.4
Santa Barbara,2023,09,09 - Communication/journalism,597,144,24.1
Santa Barbara,2023,11,11 - Computer and information sciences,168,9,5.4
Santa Barbara,2023,14,14 - Engineering,270,30,11.1
Santa Barbara,2023,16,16 - Foreign languages,141,61,43.3
Santa Barbara,2023,22,22 - Legal professions,1,0,0.0
Santa Barbara,2023,23,23 - English language and literature,123,43,35.0
Santa Barbara,2023,26,26 - Biological sciences,715,148,20.7
Santa Barbara,2023,27,27 - Mathematics and statistics,608,66,10.9
Santa Barbara,2023,30,30 - Multi/interdisciplinary studies,127,44,34.6
Santa Barbara,2023,38,38 - Philosophy and religious studies,100,29,29.0
Santa Barbara,2023,40,40 - Physical sciences,261,50,19.2
Santa Barbara,2023,42,42 - Psychology,661,159,24.1
Santa Barbara,2023,45,45 - Social sciences,1713,500,29.2
Santa Barbara,2023,50,50 - Visual and performing arts,372,104,28.0
Santa Barbara,2023,52,52 - Business/management/marketing,39,4,10.3
Santa Barbara,2023,54,54 - History,155,55,35.5
Santa Cruz,2011,01,01 - Agriculture,12,1,8.3
Santa Cruz,2011,03,03 - Natural resources,287,42,14.6
Santa Cruz,2011,05,"05 - Area, ethnic, cultural, gender, and group studies",177,84,47.5
Santa Cruz,2011,11,11 - Computer and information sciences,143,21,14.7
Santa Cruz,2011,13,13 - Education,2,1,50.0
Santa Cruz,2011,14,14 - Engineering,95,11,11.6
Santa Cruz,2011,16,16 - Foreign languages,92,20,21.7
Santa Cruz,2011,22,22 - Legal professions,82,25,30.5
Santa Cruz,2011,23,23 - English language and literature,273,58,21.2
Santa Cruz,2011,26,26 - Biological sciences,568,96,16.9
