entry,campus,cohort,q_lo,q1_hi,q2_hi,q_hi
FR,Santa Cruz,2018,0.0,3.68,3.9,4.0
FR,Santa Cruz,2019,1.38,3.69,3.91,4.0
FR,Santa Cruz,2020,1.1,3.67,3.91,4.0
FR,Santa Cruz,2021,0.0,3.71,3.92,4.0
TR,All,2010,0.33,3.25,3.63,4.0
TR,All,2011,0.31,3.27,3.63,4.0
TR,All,2012,0.3,3.3,3.65,4.0
TR,All,2013,0.32,3.31,3.66,4.0
TR,All,2014,0.82,3.34,3.68,4.0
TR,All,2015,1.4,3.34,3.68,4.0
TR,All,2016,0.36,3.33,3.68,4.0
TR,All,2017,0.3,3.33,3.69,4.0
TR,All,2018,0.32,3.34,3.7,4.0
TR,All,2019,0.32,3.38,3.73,4.0
TR,All,2020,1.25,3.39,3.74,4.0
TR,All,2021,1.0,3.5,3.82,4.0
TR,Berkeley,2010,0.33,3.25,3.63,4.0
TR,Berkeley,2011,0.31,3.27,3.63,4.0
TR,Berkeley,2012,0.3,3.3,3.65,4.0
TR,Berkeley,2013,0.32,3.31,3.66,4.0
TR,Berkeley,2014,0.82,3.34,3.68,4.0
TR,Berkeley,2015,1.4,3.34,3.68,4.0
TR,Berkeley,2016,0.36,3.33,3.68,4.0
TR,Berkeley,2017,0.3,3.33,3.69,4.0
TR,Berkeley,2018,0.32,3.34,3.7,4.0
TR,Berkeley,2019,0.32,3.38,3.73,4.0
TR,Berkeley,2020,1.25,3.39,3.74,4.0
TR,Berkeley,2021,1.0,3.5,3.82,4.0
TR,Davis,2010,0.33,3.25,3.63,4.0
TR,Davis,2011,0.31,3.27,3.63,4.0
TR,Davis,2012,0.3,3.3,3.65,4.0
TR,Davis,2013,0.32,3.31,3.66,4.0
TR,Davis,2014,0.82,3.34,3.68,4.0
TR,Davis,2015,1.4,3.34,3.68,4.0
TR,Davis,2016,0.36,3.33,3.68,4.0
TR,Davis,2017,0.3,3.33,3.69,4.0
TR,Davis,2018,0.32,3.34,3.7,4.0
TR,Davis,2019,0.32,3.38,3.73,4.0
TR,Davis,2020,1.25,3.39,3.74,4.0
TR,Davis,2021,1.0,3.5,3.82,4.0
TR,Irvine,2010,0.33,3.25,3.63,4.0
TR,Irvine,2011,0.31,3.27,3.63,4.0
TR,Irvine,2012,0.3,3.3,3.65,4.0
TR,Irvine,2013,0.32,3.31,3.66,4.0
TR,Irvine,2014,0.82,3.34,3.68,4.0
TR,Irvine,2015,1.4,3.34,3.68,4.0
TR,Irvine,2016,0.36,3.33,3.68,4.0
TR,Irvine,2017,0.3,3.33,3.69,4.0
TR,Irvine,2018,0.32,3.34,3.7,4.0
TR,Irvine,2019,0.32,3.38,3.73,4.0
TR,Irvine,2020,1.25,3.39,3.74,4.0
TR,Irvine,2021,1.0,3.5,3.82,4.0
TR,Los Angeles,2010,0.33,3.25,3.63,4.0
TR,Los Angeles,2011,0.31,3.27,3.63,4.0
TR,Los Angeles,2012,0.3,3.3,3.65,4.0
TR,Los Angeles,2013,0.32,3.31,3.66,4.0
TR,Los Angeles,2014,0.82,3.34,3.68,4.0
TR,Los Angeles,2015,1.4,3.34,3.68,4.0
TR,Los Angeles,2016,0.36,3.33,3.68,4.0
TR,Los Angeles,2017,0.3,3.33,3.69,4.0
TR,Los Angeles,2018,0.32,3.34,3.7,4.0
TR,Los Angeles,2019,0.32,3.38,3.73,4.0
TR,Los Angeles,2020,1.25,3.39,3.74,4.0
TR,Los Angeles,2021,1.0,3.5,3.82,4.0
TR,Merced,2010,0.33,3.25,3.63,4.0
TR,Merced,2011,0.31,3.27,3.63,4.0
TR,Merced,2012,0.3,3.3,3.65,4.0
TR,Merced,2013,0.32,3.31,3.66,4.0
TR,Merced,2014,0.82,3.34,3.68,4.0
TR,Merced,2015,1.4,3.34,3.68,4.0
TR,Merced,2016,0.36,3.33,3.68,4.0
TR,Merced,2017,0.3,3.33,3.69,4.0
TR,Merced,2018,0.32,3.34,3.7,4.0
TR,Merced,2019,0.32,3.38,3.73,4.0
TR,Merced,2020,1.25,3.39,3.74,4.0
TR,Merced,2021,1.0,3.5,3.82,4.0
TR,Riverside,2010,0.33,3.25,3.63,4.0
TR,Riverside,2011,0.31,3.27,3.63,4.0
TR,Riverside,2012,0.3,3.3,3.65,4.0
TR,Riverside,2013,0.32,3.31,3.66,4.0
TR,Riverside,2014,0.82,3.34,3.68,4.0
TR,Riverside,2015,1.4,3.34,3.68,4.0
TR,Riverside,2016,0.36,3.33,3.68,4.0
TR,Riverside,2017,0.3,3.33,3.69,4.0
TR,Riverside,2018,0.32,3.34,3.7,4.0
TR,Riverside,2019,0.32,3.38,3.73,4.0
TR,Riverside,2020,1.25,3.39,3.74,4.0
TR,Riverside,2021,1.0,3.5,3.82,4.0
TR,San Diego,2010,0.33,3.25,3.63,4.0
TR,San Diego,2011,0.31,3.27,3.63,4.0
TR,San Diego,2012,0.3,3.3,3.65,4.0
TR,San Diego,2013,0.32,3.31,3.66,4.0
TR,San Diego,2014,0.82,3.34,3.68,4.0
TR,San Diego,2015,1.4,3.34,3.68,4.0
TR,San Diego,2016,0.36,3.33,3.68,4.0
TR,San Diego,2017,0.3,3.33,3.69,4.0
TR,San Diego,2018,0.32,3.34,3.7,4.0
