campus,year,group,c150_pct,d150,ret_ft4_pct,pctpell,ftftpctpell,ugds
Los Angeles,2019,nhpi,94.4,18,,,,
Los Angeles,2019,two_or_more,91.1,293,,,,
Los Angeles,2019,international,90.6,650,,,,
Los Angeles,2019,unknown,92.0,113,,,,
Los Angeles,2019,urm_basic,85.8,1332,,,,
Los Angeles,2019,pell,88.7,1791,,,,
Los Angeles,2019,loan_no_pell,91.9,669,,,,
Los Angeles,2019,no_loan_no_pell,93.0,3224,,,,
Los Angeles,2019,__campus__,,,96.5,31.9,25.6,31537
Riverside,2019,overall,76.0,4184,,,,
Riverside,2019,white,74.1,463,,,,
Riverside,2019,black,74.5,157,,,,
Riverside,2019,hispanic_latino,74.6,1547,,,,
Riverside,2019,asian,80.0,1670,,,,
Riverside,2019,aian,66.7,6,,,,
Riverside,2019,nhpi,57.1,7,,,,
Riverside,2019,two_or_more,68.3,205,,,,
Riverside,2019,international,57.3,89,,,,
Riverside,2019,unknown,75.0,40,,,,
Riverside,2019,urm_basic,74.5,1717,,,,
Riverside,2019,pell,75.2,2317,,,,
Riverside,2019,loan_no_pell,79.1,580,,,,
Riverside,2019,no_loan_no_pell,76.0,1287,,,,
Riverside,2019,__campus__,,,89.6,52.8,51.0,22015
San Diego,2019,overall,87.4,5217,,,,
San Diego,2019,white,85.9,1088,,,,
San Diego,2019,black,77.1,70,,,,
San Diego,2019,hispanic_latino,82.2,810,,,,
San Diego,2019,asian,92.3,2047,,,,
San Diego,2019,aian,75.0,4,,,,
San Diego,2019,nhpi,73.9,23,,,,
San Diego,2019,two_or_more,86.3,248,,,,
San Diego,2019,international,83.8,840,,,,
San Diego,2019,unknown,88.5,87,,,,
San Diego,2019,urm_basic,81.6,907,,,,
San Diego,2019,pell,84.8,1687,,,,
San Diego,2019,loan_no_pell,89.4,814,,,,
San Diego,2019,no_loan_no_pell,88.4,2716,,,,
San Diego,2019,__campus__,,,93.4,36.5,34.5,30789
Santa Barbara,2019,overall,83.4,4597,,,,
Santa Barbara,2019,white,84.9,1730,,,,
Santa Barbara,2019,black,68.0,100,,,,
Santa Barbara,2019,hispanic_latino,80.9,1186,,,,
Santa Barbara,2019,asian,83.9,931,,,,
Santa Barbara,2019,aian,75.0,8,,,,
Santa Barbara,2019,nhpi,82.3,17,,,,
Santa Barbara,2019,two_or_more,83.6,293,,,,
Santa Barbara,2019,international,86.9,259,,,,
Santa Barbara,2019,unknown,89.0,73,,,,
Santa Barbara,2019,urm_basic,79.9,1311,,,,
Santa Barbara,2019,pell,80.2,1640,,,,
Santa Barbara,2019,loan_no_pell,84.2,634,,,,
Santa Barbara,2019,no_loan_no_pell,85.4,2323,,,,
Santa Barbara,2019,__campus__,,,91.9,35.7,33.0,23337
Santa Cruz,2019,overall,75.0,3290,,,,
Santa Cruz,2019,white,76.7,1008,,,,
Santa Cruz,2019,black,69.9,83,,,,
Santa Cruz,2019,hispanic_latino,72.4,1137,,,,
Santa Cruz,2019,asian,80.5,652,,,,
Santa Cruz,2019,aian,50.0,2,,,,
Santa Cruz,2019,nhpi,37.5,8,,,,
Santa Cruz,2019,two_or_more,69.8,232,,,,
Santa Cruz,2019,international,73.5,117,,,,
Santa Cruz,2019,unknown,72.5,51,,,,
Santa Cruz,2019,urm_basic,71.9,1230,,,,
Santa Cruz,2019,pell,71.4,1432,,,,
Santa Cruz,2019,loan_no_pell,76.6,674,,,,
Santa Cruz,2019,no_loan_no_pell,78.5,1184,,,,
Santa Cruz,2019,__campus__,,,88.6,34.9,28.4,17517
Merced,2019,overall,69.5,1650,,,,
Merced,2019,white,70.3,199,,,,
Merced,2019,black,72.6,73,,,,
Merced,2019,hispanic_latino,67.7,854,,,,
Merced,2019,asian,72.7,341,,,,
Merced,2019,aian,80.0,5,,,,
Merced,2019,nhpi,85.7,14,,,,
Merced,2019,two_or_more,63.2,57,,,,
Merced,2019,international,68.4,95,,,,
Merced,2019,unknown,83.3,12,,,,
Merced,2019,urm_basic,68.4,946,,,,
Merced,2019,pell,67.9,1046,,,,
Merced,2019,loan_no_pell,68.1,257,,,,
Merced,2019,no_loan_no_pell,75.2,347,,,,
Merced,2019,__campus__,,,84.7,64.3,64.1,8151
Berkeley,2020,overall,92.3,5431,,,,
Berkeley,2020,white,93.0,1410,,,,
Berkeley,2020,black,82.5,103,,,,
Berkeley,2020,hispanic_latino,85.6,750,,,,
Berkeley,2020,asian,95.3,2036,,,,
Berkeley,2020,aian,63.6,11,,,,
Berkeley,2020,nhpi,100.0,11,,,,
Berkeley,2020,two_or_more,94.3,247,,,,
Berkeley,2020,international,90.1,725,,,,
Berkeley,2020,unknown,96.4,138,,,,
Berkeley,2020,urm_basic,85.1,875,,,,
Berkeley,2020,pell,88.8,1424,,,,
Berkeley,2020,loan_no_pell,92.2,502,,,,
Berkeley,2020,no_loan_no_pell,93.8,3505,,,,
Berkeley,2020,__campus__,,,96.1,25.9,20.8,30796
Davis,2020,overall,86.2,5351,,,,
Davis,2020,white,88.5,1369,,,,
Davis,2020,black,82.3,102,,,,
Davis,2020,hispanic_latino,78.3,1106,,,,
Davis,2020,asian,90.3,1759,,,,
Davis,2020,aian,76.9,13,,,,
Davis,2020,nhpi,78.3,23,,,,
Davis,2020,two_or_more,84.6,260,,,,
Davis,2020,international,85.2,641,,,,
Davis,2020,unknown,91.0,78,,,,
Davis,2020,urm_basic,78.6,1244,,,,
Davis,2020,pell,82.5,2001,,,,
Davis,2020,loan_no_pell,86.2,680,,,,
Davis,2020,no_loan_no_pell,89.1,2670,,,,
Davis,2020,__campus__,,,93.0,35.7,32.6,31142
Irvine,2020,overall,85.0,5420,,,,
Irvine,2020,white,87.3,663,,,,
Irvine,2020,black,81.9,94,,,,
Irvine,2020,hispanic_latino,78.7,1508,,,,
Irvine,2020,asian,90.9,1975,,,,
Irvine,2020,aian,,0,,,,
Irvine,2020,nhpi,85.7,14,,,,
Irvine,2020,two_or_more,84.8,184,,,,
Irvine,2020,international,81.1,942,,,,
Irvine,2020,unknown,87.5,40,,,,
Irvine,2020,urm_basic,79.0,1616,,,,
Irvine,2020,pell,82.9,2308,,,,
Irvine,2020,loan_no_pell,87.2,869,,,,
Irvine,2020,no_loan_no_pell,86.2,2243,,,,
Irvine,2020,__campus__,,,94.4,38.7,38.1,29627
Los Angeles,2020,overall,91.3,5749,,,,
Los Angeles,2020,white,93.5,1543,,,,
Los Angeles,2020,black,81.3,187,,,,
Los Angeles,2020,hispanic_latino,87.0,1179,,,,
Los Angeles,2020,asian,93.7,1728,,,,
Los Angeles,2020,aian,81.8,11,,,,
Los Angeles,2020,nhpi,81.2,16,,,,
Los Angeles,2020,two_or_more,91.2,297,,,,
Los Angeles,2020,international,90.7,696,,,,
Los Angeles,2020,unknown,92.4,92,,,,
Los Angeles,2020,urm_basic,86.1,1393,,,,
Los Angeles,2020,pell,88.2,1724,,,,
Los Angeles,2020,loan_no_pell,90.7,635,,,,
Los Angeles,2020,no_loan_no_pell,93.0,3390,,,,
Los Angeles,2020,__campus__,,,95.6,30.5,25.1,31636
Riverside,2020,overall,77.3,4271,,,,
Riverside,2020,white,78.5,512,,,,
Riverside,2020,black,78.1,151,,,,
Riverside,2020,hispanic_latino,73.7,1526,,,,
Riverside,2020,asian,81.8,1688,,,,
Riverside,2020,aian,62.5,8,,,,
Riverside,2020,nhpi,62.5,8,,,,
Riverside,2020,two_or_more,74.3,222,,,,
Riverside,2020,international,61.3,124,,,,
Riverside,2020,unknown,78.1,32,,,,
Riverside,2020,urm_basic,74.0,1693,,,,
Riverside,2020,pell,76.9,2218,,,,
Riverside,2020,loan_no_pell,80.5,606,,,,
Riverside,2020,no_loan_no_pell,76.5,1447,,,,
Riverside,2020,__campus__,,,91.0,51.5,47.0,22609
San Diego,2020,overall,87.1,4913,,,,
San Diego,2020,white,85.4,830,,,,
San Diego,2020,black,77.1,48,,,,
San Diego,2020,hispanic_latino,79.7,857,,,,
San Diego,2020,asian,92.3,1863,,,,
San Diego,2020,aian,100.0,3,,,,
San Diego,2020,nhpi,100.0,9,,,,
San Diego,2020,two_or_more,86.9,222,,,,
San Diego,2020,international,85.8,1004,,,,
San Diego,2020,unknown,85.7,77,,,,
San Diego,2020,urm_basic,79.8,917,,,,
San Diego,2020,pell,84.0,1642,,,,
San Diego,2020,loan_no_pell,89.6,604,,,,
San Diego,2020,no_loan_no_pell,88.4,2667,,,,
San Diego,2020,__campus__,,,94.2,35.3,31.6,31827
Santa Barbara,2020,overall,84.0,4725,,,,
Santa Barbara,2020,white,86.8,1586,,,,
Santa Barbara,2020,black,78.4,111,,,,
Santa Barbara,2020,hispanic_latino,78.6,1241,,,,
Santa Barbara,2020,asian,85.5,1081,,,,
Santa Barbara,2020,aian,83.3,12,,,,
Santa Barbara,2020,nhpi,94.1,17,,,,
Santa Barbara,2020,two_or_more,87.1,271,,,,
Santa Barbara,2020,international,85.1,348,,,,
Santa Barbara,2020,unknown,81.0,58,,,,
Santa Barbara,2020,urm_basic,78.8,1381,,,,
Santa Barbara,2020,pell,81.1,1809,,,,
Santa Barbara,2020,loan_no_pell,82.8,626,,,,
Santa Barbara,2020,no_loan_no_pell,86.6,2290,,,,
Santa Barbara,2020,__campus__,,,90.8,33.2,28.9,23166
Santa Cruz,2020,overall,75.5,4008,,,,
Santa Cruz,2020,white,76.2,1193,,,,
Santa Cruz,2020,black,74.1,81,,,,
Santa Cruz,2020,hispanic_latino,71.2,1249,,,,
Santa Cruz,2020,asian,82.5,870,,,,
Santa Cruz,2020,aian,80.0,5,,,,
Santa Cruz,2020,nhpi,60.0,10,,,,
Santa Cruz,2020,two_or_more,73.3,322,,,,
Santa Cruz,2020,international,72.5,218,,,,
Santa Cruz,2020,unknown,80.0,60,,,,
Santa Cruz,2020,urm_basic,71.3,1345,,,,
Santa Cruz,2020,pell,74.0,1621,,,,
Santa Cruz,2020,loan_no_pell,76.7,618,,,,
Santa Cruz,2020,no_loan_no_pell,76.5,1769,,,,
Santa Cruz,2020,__campus__,,,84.9,32.0,26.9,17207
Merced,2020,overall,68.7,1546,,,,
Merced,2020,white,58.6,169,,,,
Merced,2020,black,68.4,76,,,,
Merced,2020,hispanic_latino,69.0,745,,,,
Merced,2020,asian,71.5,376,,,,
Merced,2020,aian,80.0,5,,,,
Merced,2020,nhpi,80.0,10,,,,
Merced,2020,two_or_more,68.8,64,,,,
Merced,2020,international,72.2,90,,,,
Merced,2020,unknown,63.6,11,,,,
Merced,2020,urm_basic,69.1,836,,,,
Merced,2020,pell,67.8,958,,,,
Merced,2020,loan_no_pell,70.1,271,,,,
Merced,2020,no_loan_no_pell,70.3,317,,,,
Merced,2020,__campus__,,,86.3,63.9,65.0,8276
Berkeley,2021,overall,92.8,5510,,,,
Berkeley,2021,white,93.1,1381,,,,
Berkeley,2021,black,81.4,97,,,,
Berkeley,2021,hispanic_latino,85.4,692,,,,
Berkeley,2021,asian,95.8,2141,,,,
Berkeley,2021,aian,76.9,13,,,,
Berkeley,2021,nhpi,75.0,12,,,,
Berkeley,2021,two_or_more,91.9,283,,,,
Berkeley,2021,international,92.0,687,,,,
Berkeley,2021,unknown,96.6,204,,,,
Berkeley,2021,urm_basic,84.6,814,,,,
Berkeley,2021,pell,88.6,1267,,,,
Berkeley,2021,loan_no_pell,88.7,496,,,,
Berkeley,2021,no_loan_no_pell,94.8,3747,,,,
Berkeley,2021,__campus__,,,96.2,27.2,25.5,31811
Davis,2021,overall,86.9,5323,,,,
Davis,2021,white,88.2,1271,,,,
Davis,2021,black,82.5,114,,,,
Davis,2021,hispanic_latino,82.4,1052,,,,
Davis,2021,asian,91.4,1534,,,,
Davis,2021,aian,100.0,6,,,,
Davis,2021,nhpi,95.7,23,,,,
Davis,2021,two_or_more,86.8,249,,,,
Davis,2021,international,83.2,993,,,,
Davis,2021,unknown,91.4,81,,,,
Davis,2021,urm_basic,82.8,1195,,,,
Davis,2021,pell,85.0,1793,,,,
Davis,2021,loan_no_pell,88.8,663,,,,
Davis,2021,no_loan_no_pell,87.7,2867,,,,
Davis,2021,__campus__,,,91.0,34.3,29.5,31637
Irvine,2021,overall,83.7,5737,,,,
Irvine,2021,white,82.5,674,,,,
Irvine,2021,black,78.9,109,,,,
Irvine,2021,hispanic_latino,76.6,1563,,,,
Irvine,2021,asian,89.9,1806,,,,
Irvine,2021,aian,75.0,4,,,,
Irvine,2021,nhpi,75.0,24,,,,
Irvine,2021,two_or_more,85.0,186,,,,
Irvine,2021,international,84.5,1319,,,,
Irvine,2021,unknown,84.6,52,,,,
Irvine,2021,urm_basic,76.7,1700,,,,
Irvine,2021,pell,81.8,2334,,,,
Irvine,2021,loan_no_pell,85.2,811,,,,
Irvine,2021,no_loan_no_pell,84.9,2592,,,,
Irvine,2021,__campus__,,,93.5,38.4,39.4,29438
Los Angeles,2021,overall,92.1,5667,,,,
Los Angeles,2021,white,93.2,1517,,,,
Los Angeles,2021,black,79.8,193,,,,
Los Angeles,2021,hispanic_latino,88.8,1171,,,,
Los Angeles,2021,asian,95.0,1722,,,,
Los Angeles,2021,aian,88.9,9,,,,
Los Angeles,2021,nhpi,77.3,22,,,,
Los Angeles,2021,two_or_more,92.8,293,,,,
Los Angeles,2021,international,91.4,628,,,,
Los Angeles,2021,unknown,94.6,112,,,,
Los Angeles,2021,urm_basic,87.4,1395,,,,
Los Angeles,2021,pell,88.2,1685,,,,
Los Angeles,2021,loan_no_pell,94.3,627,,,,
Los Angeles,2021,no_loan_no_pell,93.7,3355,,,,
Los Angeles,2021,__campus__,,,96.9,28.4,22.2,32122
Riverside,2021,overall,76.4,4017,,,,
Riverside,2021,white,72.0,440,,,,
Riverside,2021,black,69.5,118,,,,
Riverside,2021,hispanic_latino,74.8,1498,,,,
Riverside,2021,asian,80.2,1560,,,,
Riverside,2021,aian,40.0,5,,,,
Riverside,2021,nhpi,66.7,9,,,,
Riverside,2021,two_or_more,76.9,255,,,,
Riverside,2021,international,70.9,86,,,,
Riverside,2021,unknown,76.1,46,,,,
Riverside,2021,urm_basic,74.3,1630,,,,
Riverside,2021,pell,75.0,2120,,,,
Riverside,2021,loan_no_pell,78.5,581,,,,
Riverside,2021,no_loan_no_pell,77.9,1316,,,,
Riverside,2021,__campus__,,,88.2,50.0,49.1,22817
San Diego,2021,overall,89.3,5286,,,,
San Diego,2021,white,88.8,934,,,,
San Diego,2021,black,82.5,57,,,,
San Diego,2021,hispanic_latino,81.9,725,,,,
San Diego,2021,asian,93.5,1915,,,,
San Diego,2021,aian,100.0,5,,,,
San Diego,2021,nhpi,72.7,11,,,,
San Diego,2021,two_or_more,91.8,245,,,,
San Diego,2021,international,87.5,1285,,,,
San Diego,2021,unknown,91.7,109,,,,
San Diego,2021,urm_basic,82.0,798,,,,
San Diego,2021,pell,87.6,1373,,,,
San Diego,2021,loan_no_pell,88.1,698,,,,
San Diego,2021,no_loan_no_pell,90.4,3215,,,,
San Diego,2021,__campus__,,,95.0,33.4,24.1,33339
Santa Barbara,2021,overall,85.4,4459,,,,
Santa Barbara,2021,white,87.9,1401,,,,
Santa Barbara,2021,black,76.4,106,,,,
Santa Barbara,2021,hispanic_latino,81.4,1250,,,,
Santa Barbara,2021,asian,89.3,993,,,,
Santa Barbara,2021,aian,66.7,9,,,,
Santa Barbara,2021,nhpi,83.3,12,,,,
Santa Barbara,2021,two_or_more,83.6,281,,,,
Santa Barbara,2021,international,83.6,341,,,,
Santa Barbara,2021,unknown,83.3,66,,,,
Santa Barbara,2021,urm_basic,80.9,1377,,,,
Santa Barbara,2021,pell,83.3,1732,,,,
Santa Barbara,2021,loan_no_pell,85.6,535,,,,
Santa Barbara,2021,no_loan_no_pell,87.0,2192,,,,
Santa Barbara,2021,__campus__,,,91.2,32.0,27.8,23081
Santa Cruz,2021,overall,78.1,3605,,,,
Santa Cruz,2021,white,77.5,1096,,,,
Santa Cruz,2021,black,59.0,61,,,,
Santa Cruz,2021,hispanic_latino,73.9,956,,,,
Santa Cruz,2021,asian,84.9,871,,,,
Santa Cruz,2021,aian,100.0,1,,,,
Santa Cruz,2021,nhpi,72.7,11,,,,
Santa Cruz,2021,two_or_more,78.9,289,,,,
Santa Cruz,2021,international,75.6,262,,,,
Santa Cruz,2021,unknown,84.5,58,,,,
Santa Cruz,2021,urm_basic,73.0,1029,,,,
Santa Cruz,2021,pell,78.1,1299,,,,
Santa Cruz,2021,loan_no_pell,75.2,553,,,,
Santa Cruz,2021,no_loan_no_pell,79.0,1753,,,,
Santa Cruz,2021,__campus__,,,88.9,31.8,31.4,17864
Merced,2021,overall,71.7,1781,,,,
Merced,2021,white,74.9,183,,,,
Merced,2021,black,63.9,61,,,,
Merced,2021,hispanic_latino,68.8,960,,,,
Merced,2021,asian,78.5,363,,,,
Merced,2021,aian,100.0,2,,,,
Merced,2021,nhpi,66.7,18,,,,
Merced,2021,two_or_more,63.8,58,,,,
Merced,2021,international,78.0,127,,,,
Merced,2021,unknown,55.6,9,,,,
Merced,2021,urm_basic,68.5,1041,,,,
Merced,2021,pell,69.2,1141,,,,
Merced,2021,loan_no_pell,73.7,255,,,,
Merced,2021,no_loan_no_pell,77.7,385,,,,
Merced,2021,__campus__,,,78.8,63.0,64.9,8321
Berkeley,2022,overall,94.0,6199,,,,
Berkeley,2022,white,95.2,1547,,,,
Berkeley,2022,black,80.7,93,,,,
Berkeley,2022,hispanic_latino,87.5,838,,,,
Berkeley,2022,asian,96.3,2394,,,,
Berkeley,2022,aian,100.0,4,,,,
Berkeley,2022,nhpi,93.3,15,,,,
Berkeley,2022,two_or_more,92.0,311,,,,
Berkeley,2022,international,93.8,741,,,,
Berkeley,2022,unknown,95.3,256,,,,
Berkeley,2022,urm_basic,86.9,950,,,,
Berkeley,2022,pell,88.8,1205,,,,
Berkeley,2022,loan_no_pell,91.7,469,,,,
Berkeley,2022,no_loan_no_pell,95.7,4525,,,,
Berkeley,2022,__campus__,,,95.9,27.1,22.7,32475
Davis,2022,overall,86.3,5697,,,,
Davis,2022,white,87.5,1380,,,,
Davis,2022,black,77.8,108,,,,
Davis,2022,hispanic_latino,80.5,1290,,,,
Davis,2022,asian,90.8,1583,,,,
Davis,2022,aian,100.0,4,,,,
Davis,2022,nhpi,76.0,25,,,,
Davis,2022,two_or_more,89.5,277,,,,
Davis,2022,international,85.1,948,,,,
Davis,2022,unknown,89.0,82,,,,
Davis,2022,urm_basic,80.2,1427,,,,
Davis,2022,pell,81.4,1891,,,,
Davis,2022,loan_no_pell,87.2,733,,,,
Davis,2022,no_loan_no_pell,89.2,3073,,,,
Davis,2022,__campus__,,,91.9,32.8,26.7,31512
Irvine,2022,overall,86.6,6540,,,,
Irvine,2022,white,86.8,729,,,,
Irvine,2022,black,77.3,119,,,,
Irvine,2022,hispanic_latino,80.8,1714,,,,
Irvine,2022,asian,92.1,2204,,,,
Irvine,2022,aian,100.0,1,,,,
Irvine,2022,nhpi,82.3,17,,,,
Irvine,2022,two_or_more,84.7,268,,,,
Irvine,2022,international,85.8,1418,,,,
Irvine,2022,unknown,95.7,70,,,,
Irvine,2022,urm_basic,80.6,1851,,,,
Irvine,2022,pell,85.0,2442,,,,
Irvine,2022,loan_no_pell,86.4,846,,,,
Irvine,2022,no_loan_no_pell,87.8,3252,,,,
Irvine,2022,__campus__,,,91.3,37.9,35.9,28651
Los Angeles,2022,overall,92.5,6527,,,,
Los Angeles,2022,white,93.2,1631,,,,
Los Angeles,2022,black,84.2,221,,,,
Los Angeles,2022,hispanic_latino,89.8,1528,,,,
Los Angeles,2022,asian,95.5,1848,,,,
Los Angeles,2022,aian,81.0,21,,,,
Los Angeles,2022,nhpi,80.0,20,,,,
Los Angeles,2022,two_or_more,93.3,372,,,,
Los Angeles,2022,international,91.5,726,,,,
Los Angeles,2022,unknown,93.8,160,,,,
Los Angeles,2022,urm_basic,88.9,1790,,,,
Los Angeles,2022,pell,88.9,1954,,,,
Los Angeles,2022,loan_no_pell,93.5,723,,,,
Los Angeles,2022,no_loan_no_pell,94.1,3850,,,,
Los Angeles,2022,__campus__,,,96.6,27.2,22.8,32423
Riverside,2022,overall,76.0,5343,,,,
Riverside,2022,white,74.6,515,,,,
Riverside,2022,black,71.7,180,,,,
Riverside,2022,hispanic_latino,73.9,2556,,,,
Riverside,2022,asian,82.8,1605,,,,
Riverside,2022,aian,66.7,3,,,,
Riverside,2022,nhpi,75.0,8,,,,
Riverside,2022,two_or_more,69.0,316,,,,
Riverside,2022,international,64.8,108,,,,
Riverside,2022,unknown,69.2,52,,,,
Riverside,2022,urm_basic,73.7,2747,,,,
Riverside,2022,pell,75.2,3024,,,,
Riverside,2022,loan_no_pell,80.2,708,,,,
Riverside,2022,no_loan_no_pell,75.7,1611,,,,
Riverside,2022,__campus__,,,87.4,49.4,46.3,22842
San Diego,2022,overall,87.7,5714,,,,
San Diego,2022,white,88.2,887,,,,
San Diego,2022,black,74.4,86,,,,
San Diego,2022,hispanic_latino,82.2,1171,,,,
San Diego,2022,asian,92.1,1957,,,,
San Diego,2022,aian,42.9,7,,,,
San Diego,2022,nhpi,92.3,13,,,,
San Diego,2022,two_or_more,87.2,257,,,,
San Diego,2022,international,86.4,1239,,,,
San Diego,2022,unknown,94.8,97,,,,
San Diego,2022,urm_basic,81.5,1277,,,,
San Diego,2022,pell,83.9,1756,,,,
San Diego,2022,loan_no_pell,87.8,737,,,,
San Diego,2022,no_loan_no_pell,89.8,3221,,,,
San Diego,2022,__campus__,,,93.4,31.9,28.8,33092
Santa Barbara,2022,overall,85.7,4982,,,,
Santa Barbara,2022,white,88.3,1556,,,,
Santa Barbara,2022,black,80.7,83,,,,
Santa Barbara,2022,hispanic_latino,81.4,1337,,,,
Santa Barbara,2022,asian,89.7,930,,,,
Santa Barbara,2022,aian,85.7,7,,,,
Santa Barbara,2022,nhpi,85.0,20,,,,
Santa Barbara,2022,two_or_more,82.6,436,,,,
Santa Barbara,2022,international,84.1,546,,,,
Santa Barbara,2022,unknown,94.0,67,,,,
Santa Barbara,2022,urm_basic,81.4,1447,,,,
Santa Barbara,2022,pell,82.0,1675,,,,
Santa Barbara,2022,loan_no_pell,87.2,577,,,,
Santa Barbara,2022,no_loan_no_pell,87.6,2730,,,,
Santa Barbara,2022,__campus__,,,92.4,30.1,26.2,23419
Santa Cruz,2022,overall,76.9,4193,,,,
Santa Cruz,2022,white,76.9,1312,,,,
Santa Cruz,2022,black,70.4,81,,,,
Santa Cruz,2022,hispanic_latino,75.1,1075,,,,
Santa Cruz,2022,asian,79.3,1010,,,,
Santa Cruz,2022,aian,83.3,6,,,,
Santa Cruz,2022,nhpi,80.0,5,,,,
Santa Cruz,2022,two_or_more,78.2,362,,,,
Santa Cruz,2022,international,75.0,264,,,,
Santa Cruz,2022,unknown,78.2,78,,,,
Santa Cruz,2022,urm_basic,74.8,1167,,,,
Santa Cruz,2022,pell,77.2,1355,,,,
Santa Cruz,2022,loan_no_pell,73.9,670,,,,
Santa Cruz,2022,no_loan_no_pell,77.7,2168,,,,
Santa Cruz,2022,__campus__,,,88.0,32.0,33.0,17502
Merced,2022,overall,67.5,2040,,,,
Merced,2022,white,64.7,190,,,,
Merced,2022,black,77.8,108,,,,
Merced,2022,hispanic_latino,63.6,1133,,,,
Merced,2022,asian,79.1,373,,,,
Merced,2022,aian,,0,,,,
Merced,2022,nhpi,75.0,12,,,,
Merced,2022,two_or_more,60.3,58,,,,
Merced,2022,international,66.2,157,,,,
Merced,2022,unknown,55.6,9,,,,
Merced,2022,urm_basic,65.0,1253,,,,
Merced,2022,pell,68.2,1334,,,,
Merced,2022,loan_no_pell,99.6,276,,,,
Merced,2022,no_loan_no_pell,44.4,430,,,,
Merced,2022,__campus__,,,82.0,61.3,59.1,8343
Berkeley,2023,overall,92.9,6344,,,,
Berkeley,2023,white,92.2,1562,,,,
Berkeley,2023,black,88.1,101,,,,
Berkeley,2023,hispanic_latino,86.9,895,,,,
Berkeley,2023,asian,96.1,2436,,,,
Berkeley,2023,aian,33.3,6,,,,
Berkeley,2023,nhpi,90.5,21,,,,
Berkeley,2023,two_or_more,91.8,356,,,,
Berkeley,2023,international,91.6,741,,,,
Berkeley,2023,unknown,96.0,226,,,,
Berkeley,2023,urm_basic,86.8,1023,,,,
Berkeley,2023,pell,88.4,1241,,,,
Berkeley,2023,loan_no_pell,90.8,513,,,,
Berkeley,2023,no_loan_no_pell,94.3,4590,,,,
Berkeley,2023,__campus__,,,96.8,27.3,24.4,33073
Davis,2023,overall,85.1,5832,,,,
Davis,2023,white,86.0,1209,,,,
Davis,2023,black,69.7,109,,,,
Davis,2023,hispanic_latino,80.2,1329,,,,
Davis,2023,asian,90.5,1439,,,,
Davis,2023,aian,90.0,10,,,,
Davis,2023,nhpi,83.3,18,,,,
Davis,2023,two_or_more,86.4,280,,,,
Davis,2023,international,84.1,1372,,,,
Davis,2023,unknown,86.4,66,,,,
Davis,2023,urm_basic,79.5,1466,,,,
Davis,2023,pell,81.3,1881,,,,
Davis,2023,loan_no_pell,86.8,582,,,,
Davis,2023,no_loan_no_pell,86.9,3369,,,,
Davis,2023,__campus__,,,93.4,30.8,25.2,31777
Irvine,2023,overall,86.0,6534,,,,
Irvine,2023,white,82.9,724,,,,
Irvine,2023,black,77.8,135,,,,
Irvine,2023,hispanic_latino,79.8,1729,,,,
Irvine,2023,asian,90.9,2453,,,,
Irvine,2023,aian,75.0,4,,,,
Irvine,2023,nhpi,75.0,16,,,,
Irvine,2023,two_or_more,89.0,272,,,,
Irvine,2023,international,86.8,1135,,,,
Irvine,2023,unknown,89.4,66,,,,
Irvine,2023,urm_basic,79.6,1884,,,,
Irvine,2023,pell,83.8,2464,,,,
Irvine,2023,loan_no_pell,84.5,755,,,,
Irvine,2023,no_loan_no_pell,87.9,3315,,,,
Irvine,2023,__campus__,,,93.8,37.3,35.3,29494
Los Angeles,2023,overall,92.7,6020,,,,
Los Angeles,2023,white,93.9,1614,,,,
Los Angeles,2023,black,85.7,189,,,,
Los Angeles,2023,hispanic_latino,88.6,1360,,,,
Los Angeles,2023,asian,96.6,1682,,,,
Los Angeles,2023,aian,81.8,11,,,,
Los Angeles,2023,nhpi,84.6,13,,,,
Los Angeles,2023,two_or_more,90.9,363,,,,
Los Angeles,2023,international,92.2,640,,,,
Los Angeles,2023,unknown,88.5,148,,,,
Los Angeles,2023,urm_basic,88.2,1573,,,,
Los Angeles,2023,pell,90.1,1748,,,,
Los Angeles,2023,loan_no_pell,92.9,616,,,,
Los Angeles,2023,no_loan_no_pell,93.8,3656,,,,
Los Angeles,2023,__campus__,,,96.8,27.1,25.9,33040
Riverside,2023,overall,76.6,4574,,,,
Riverside,2023,white,75.0,476,,,,
Riverside,2023,black,75.0,132,,,,
Riverside,2023,hispanic_latino,73.1,1866,,,,
Riverside,2023,asian,82.9,1658,,,,
Riverside,2023,aian,33.3,3,,,,
Riverside,2023,nhpi,75.0,4,,,,
Riverside,2023,two_or_more,75.0,244,,,,
Riverside,2023,international,62.5,128,,,,
Riverside,2023,unknown,65.1,63,,,,
Riverside,2023,urm_basic,73.2,2005,,,,
Riverside,2023,pell,76.1,2296,,,,
Riverside,2023,loan_no_pell,77.8,693,,,,
Riverside,2023,no_loan_no_pell,76.7,1585,,,,
Riverside,2023,__campus__,,,88.2,46.7,43.4,22644
San Diego,2023,overall,87.6,5690,,,,
San Diego,2023,white,88.3,1030,,,,
San Diego,2023,black,85.5,76,,,,
San Diego,2023,hispanic_latino,78.3,1284,,,,
San Diego,2023,asian,92.9,1911,,,,
San Diego,2023,aian,100.0,1,,,,
San Diego,2023,nhpi,90.9,11,,,,
San Diego,2023,two_or_more,88.8,267,,,,
San Diego,2023,international,88.9,1035,,,,
San Diego,2023,unknown,84.0,75,,,,
San Diego,2023,urm_basic,78.8,1372,,,,
