ceeb,name,city,county
052020,Cantwell Sacred Heart of Mary,Montebello,Los Angeles
052022,East Palo Alto Academy,East Palo Alto,San Mateo
052029,Montebello High School,Montebello,Los Angeles
052031,Joseph A Gregori High School,Modesto,Stanislaus
052037,Schurr High School,Montebello,Los Angeles
052039,Marco Antonio Firebaugh Hs,Lynwood,Los Angeles
052042,Oakwood School,Morgan Hill,Santa Clara
052045,Santa Catalina School,Monterey,Monterey
052046,High School at Moorpark Coll,Moorpark,Ventura
052048,Seaside High School,Seaside,Monterey
052050,Monterey High School,Monterey,Monterey
052053,York School,Monterey,Monterey
052055,Moorpark High School,Moorpark,Ventura
052056,Rancho Verde High School,Moreno Valley,Riverside
052057,Valley View High School,Moreno Valley,Riverside
052058,Campolindo High School,Moraga,Contra Costa
052059,Canyon Springs High School,Moreno Valley,Riverside
052060,Live Oak High School,Morgan Hill,Santa Clara
052061,Morro Bay High School,Morro Bay,San Luis Obispo
052073,Murrieta Valley High School,Murrieta,Riverside
052075,Mountain View High School,Mountain View,Santa Clara
052077,Saint Francis High School,Mountain View,Santa Clara
052080,Mount Shasta High School,Mount Shasta,Siskiyou
052082,Justin-Siena High School,Napa,Napa
052085,Napa High School,Napa,Napa
052088,Vintage High School,Napa,Napa
052105,Sweetwater High School,National City,San Diego
052114,Newark Memorial High School,Newark,Alameda
052117,Newbury Park High School,Newbury Park,Ventura
052120,William S Hart High School,Newhall,Los Angeles
052124,Sage Hill School,Newport Coast,Orange
052125,Orestimba High School,Newman,Stanislaus
052128,Corona Del Mar High School,Newport Beach,Orange
052129,Norco High School,Norco,Riverside
052130,Newport Harbor High School,Newport Beach,Orange
052131,Foothill High School,Sacramento,Sacramento
052132,Highlands High School,North Highlands,Sacramento
052133,Campbell Hall,Studio City,Los Angeles
052141,Center High School,Antelope,Sacramento
052145,North Hollywood High School,North Hollywood,Los Angeles
052146,Oakwood School,North Hollywood,Los Angeles
052159,Harvard-Westlake School,Studio City,Los Angeles
052166,John Glenn High School,Norwalk,Los Angeles
052167,Norwalk High School,Norwalk,Los Angeles
052170,Novato High School,Novato,Marin
052172,San Marin High School,Novato,Marin
052175,Oakdale High School,Oakdale,Stanislaus
052176,Yosemite High School,Oakhurst,Madera
052185,Bishop Odowd High School,Oakland,Alameda
052190,Castlemont Bus Inform Tech Sch,Oakland,Alameda
052191,California Crosspoint High School,Hayward,Alameda
052192,College Preparatory School,Oakland,Alameda
052200,Holy Names High School,Oakland,Alameda
052205,Fremont High School,Oakland,Alameda
052210,Ca Sch Arts San Gabriel Valley,Duarte,Los Angeles
052211,Nipomo High School,Nipomo,San Luis Obispo
052212,Life Academy High School,Oakland,Alameda
052214,Nuview Bridge Early College Hs,Nuevo,Riverside
052216,Vista Del Lago High School,Moreno Valley,Riverside
052225,Oakland High School,Oakland,Alameda
052238,Skyline High School,Oakland,Alameda
052240,Oakland Technical High School,Oakland,Alameda
052248,El Camino High School,Oceanside,San Diego
052249,Oceanside High School,Oceanside,San Diego
052251,Guajome Park Academy,Vista,San Diego
