entry,campus,cohort,group_type,subgroup,band,band_lo,band_hi,c_first,c_second,c_third,r_first_pct,r_second_pct,r_third_pct
FR,All,2012,first_gen_status,not_first_gen,2,3.52,3.81,4911,1102,188,,,
FR,All,2012,first_gen_status,not_first_gen,3,3.81,4.0,6681,1090,151,,,
FR,All,2012,pell_status,non_pell,1,1.02,3.52,3079,949,155,,,
FR,All,2012,pell_status,non_pell,2,3.52,3.81,4604,981,154,,,
FR,All,2012,pell_status,non_pell,3,3.81,4.0,6241,938,126,,,
FR,All,2012,pell_status,pell,1,1.02,3.52,3455,1537,276,,,
FR,All,2012,pell_status,pell,2,3.52,3.81,3493,1189,201,,,
FR,All,2012,pell_status,pell,3,3.81,4.0,3427,937,130,,,
FR,All,2013,ethnicity,aian,1,1.21,3.57,38,12,2,,,
FR,All,2013,ethnicity,aian,2,3.57,3.84,30,9,1,,,
FR,All,2013,ethnicity,aian,3,3.84,4.0,48,11,1,,,
FR,All,2013,ethnicity,asian,1,1.21,3.57,2777,796,143,,,
FR,All,2013,ethnicity,asian,2,3.57,3.84,3483,761,96,,,
FR,All,2013,ethnicity,asian,3,3.84,4.0,4088,579,87,,,
FR,All,2013,ethnicity,black,1,1.21,3.57,322,161,27,,,
FR,All,2013,ethnicity,black,2,3.57,3.84,221,91,22,,,
FR,All,2013,ethnicity,black,3,3.84,4.0,185,59,9,,,
FR,All,2013,ethnicity,hispanic_latino,1,1.21,3.57,2000,827,156,,,
FR,All,2013,ethnicity,hispanic_latino,2,3.57,3.84,1658,627,92,,,
FR,All,2013,ethnicity,hispanic_latino,3,3.84,4.0,1388,422,60,,,
FR,All,2013,ethnicity,international,1,1.21,3.57,429,136,23,,,
FR,All,2013,ethnicity,international,2,3.57,3.84,693,150,45,,,
FR,All,2013,ethnicity,international,3,3.84,4.0,950,184,47,,,
FR,All,2013,ethnicity,white,1,1.21,3.57,1341,407,83,,,
FR,All,2013,ethnicity,white,2,3.57,3.84,2072,430,58,,,
FR,All,2013,ethnicity,white,3,3.84,4.0,3021,464,48,,,
FR,All,2013,first_gen_status,first_gen,1,1.21,3.57,3549,1248,220,,,
FR,All,2013,first_gen_status,first_gen,2,3.57,3.84,3290,1074,153,,,
FR,All,2013,first_gen_status,first_gen,3,3.84,4.0,2849,753,108,,,
FR,All,2013,first_gen_status,not_first_gen,1,1.21,3.57,3385,1095,212,,,
FR,All,2013,first_gen_status,not_first_gen,2,3.57,3.84,4968,1031,163,,,
FR,All,2013,first_gen_status,not_first_gen,3,3.84,4.0,7018,996,147,,,
FR,All,2013,pell_status,non_pell,1,1.21,3.57,3344,1016,181,,,
FR,All,2013,pell_status,non_pell,2,3.57,3.84,4848,962,145,,,
FR,All,2013,pell_status,non_pell,3,3.84,4.0,6666,909,135,,,
FR,All,2013,pell_status,pell,1,1.21,3.57,3718,1371,259,,,
FR,All,2013,pell_status,pell,2,3.57,3.84,3537,1172,177,,,
